# label  time(ns)  cluster_avg  std
500  0.000000  -0.002836  nan
500  0.412500  0.003675  nan
500  0.825000  0.009893  nan
500  1.237500  0.015831  nan
500  1.650000  0.021500  nan
500  2.062500  0.026910  nan
500  2.475000  0.032074  nan
500  2.887500  0.037002  nan
500  3.300000  0.041705  nan
500  3.712500  0.046195  nan
500  4.125000  0.050483  nan
500  4.537500  0.054580  nan
500  4.950000  0.058498  nan
500  5.362500  0.062247  nan
500  5.775000  0.065838  nan
500  6.187500  0.069284  nan
500  6.600000  0.072594  nan
500  7.012500  0.075781  nan
500  7.425000  0.078856  nan
500  7.837500  0.081829  nan
500  8.250000  0.084712  0.041018
500  8.662500  0.087909  0.039931
500  9.075000  0.091428  0.038479
500  9.487500  0.094116  0.037369
500  9.900000  0.097036  0.036837
500  10.312500  0.099786  0.036068
500  10.725000  0.101379  0.035670
500  11.137500  0.102782  0.035651
500  11.550000  0.104658  0.036112
500  11.962500  0.106776  0.036609
500  12.375000  0.109022  0.037294
500  12.787500  0.110785  0.037673
500  13.200000  0.113468  0.038753
500  13.612500  0.115829  0.040590
500  14.025000  0.118078  0.042364
500  14.437500  0.120849  0.044922
500  14.850000  0.123631  0.047662
500  15.262500  0.127135  0.049191
500  15.675000  0.131149  0.050367
500  16.087500  0.135419  0.051172
500  16.500000  0.140541  0.052179
500  16.912500  0.145554  0.053660
500  17.325000  0.150066  0.054694
500  17.737500  0.154840  0.055699
500  18.150000  0.158935  0.057230
500  18.562500  0.163089  0.058398
500  18.975000  0.167562  0.060024
500  19.387500  0.171629  0.061168
500  19.800000  0.176097  0.061985
500  20.212500  0.182062  0.063061
500  20.625000  0.188229  0.063544
500  21.037500  0.194637  0.064441
500  21.450000  0.201266  0.065296
500  21.862500  0.208116  0.066368
500  22.275000  0.214377  0.067842
500  22.687500  0.220413  0.069426
500  23.100000  0.226554  0.070585
500  23.512500  0.232685  0.070561
500  23.925000  0.238376  0.071442
500  24.337500  0.244341  0.072044
500  24.750000  0.251085  0.072164
500  25.162500  0.257990  0.072361
500  25.575000  0.265178  0.071062
500  25.987500  0.271123  0.069191
500  26.400000  0.277596  0.067403
500  26.812500  0.283733  0.065382
500  27.225000  0.289012  0.063278
500  27.637500  0.294530  0.062042
500  28.050000  0.300241  0.060725
500  28.462500  0.305320  0.059517
500  28.875000  0.309816  0.058362
500  29.287500  0.312938  0.058774
500  29.700000  0.315903  0.059803
500  30.112500  0.318408  0.061386
500  30.525000  0.321891  0.063125
500  30.937500  0.326033  0.064556
500  31.350000  0.330790  0.066105
500  31.762500  0.335989  0.068080
500  32.175000  0.341992  0.067991
500  32.587500  0.347546  0.067749
500  33.000000  0.352709  0.067323
500  33.412500  0.358174  0.065888
500  33.825000  0.363850  0.064768
500  34.237500  0.369405  0.063692
500  34.650000  0.374958  0.062267
500  35.062500  0.380672  0.061777
500  35.475000  0.386027  0.061479
500  35.887500  0.392567  0.060479
500  36.300000  0.399341  0.059410
500  36.712500  0.405599  0.058181
500  37.125000  0.411215  0.056381
500  37.537500  0.416345  0.054005
500  37.950000  0.421240  0.051758
500  38.362500  0.425203  0.049595
500  38.775000  0.429100  0.047430
500  39.187500  0.433365  0.045921
500  39.600000  0.437407  0.044867
500  40.012500  0.440392  0.044227
500  40.425000  0.442749  0.043194
500  40.837500  0.446601  0.042421
500  41.250000  0.450159  0.041600
500  41.662500  0.453374  0.040253
500  42.075000  0.455880  0.039022
500  42.487500  0.457041  0.036569
500  42.900000  0.458147  0.034540
500  43.312500  0.458194  0.031712
500  43.725000  0.457733  0.028536
500  44.137500  0.456456  0.025717
500  44.550000  0.455308  0.023086
500  44.962500  0.452968  0.019503
500  45.375000  0.450369  0.016382
500  45.787500  0.447107  0.013488
500  46.200000  0.444517  0.013159
500  46.612500  0.442390  0.013188
500  47.025000  0.441035  0.013039
500  47.437500  0.440714  0.013021
500  47.850000  0.439193  0.013221
500  48.262500  0.437541  0.014314
500  48.675000  0.437861  0.013624
500  49.087500  0.435990  0.015697
500  49.500000  0.435282  0.016714
500  49.912500  0.436209  0.016578
500  50.325000  0.436530  0.016776
