# Number of Particles = 1107
Coordinates:
index x y z subunit charge type diameter mass
0    2.244924096  7.77664518682              0              1          -0.25              3              1                   1
1    1.683693072  6.80456453846              0              1          -0.25              1              1                   1
2     2.80615512  6.80456453846              0              1          -0.25              2              1                   1
3    1.122462048  5.83248389011              0              1          -0.25              1              1                   1
4    3.367386144  5.83248389011              0              1          -0.25              2              1                   1
5    0.561231024  4.86040324176              0              1          -0.25              1              1                   1
6    3.928617168  4.86040324176              0              1          -0.25              2              1                   1
7              0  3.88832259341              0              1          -0.25              0              1                   1
8    2.244924096  3.88832259341              0              1              0              6       3.244924                   7
9    4.489848192  3.88832259341              0              1          -0.25              0              1                   1
10    0.561231024  2.91624194506              0              1          -0.25              2              1                   1
11    3.928617168  2.91624194506              0              1          -0.25              1              1                   1
12    1.122462048   1.9441612967              0              1          -0.25              2              1                   1
13    3.367386144   1.9441612967              0              1          -0.25              1              1                   1
14    1.683693072 0.972080648352              0              1          -0.25              2              1                   1
15     2.80615512 0.972080648352              0              1          -0.25              1              1                   1
16    2.244924096              0              0              1          -0.25              3              1                   1
17    2.244924096  6.80456453846 0.972080648352              1          -0.25              3              1                   1
18    1.683693072  5.83248389011 0.972080648352              1              0              4              1                   1
19     2.80615512  5.83248389011 0.972080648352              1              0              4              1                   1
20    1.122462048  4.86040324176 0.972080648352              1              0              4              1                   1
21    3.367386144  4.86040324176 0.972080648352              1              0              4              1                   1
22    0.561231024  3.88832259341 0.972080648352              1          -0.25              0              1                   1
23    3.928617168  3.88832259341 0.972080648352              1          -0.25              0              1                   1
24    1.122462048  2.91624194506 0.972080648352              1              0              4              1                   1
25    3.367386144  2.91624194506 0.972080648352              1              0              4              1                   1
26    1.683693072   1.9441612967 0.972080648352              1              0              4              1                   1
27     2.80615512   1.9441612967 0.972080648352              1              0              4              1                   1
28    2.244924096 0.972080648352 0.972080648352              1          -0.25              3              1                   1
29    2.244924096  5.83248389011   1.9441612967              1          -0.25              3              1                   1
30    1.683693072  4.86040324176   1.9441612967              1          -0.25              2              1                   1
31     2.80615512  4.86040324176   1.9441612967              1          -0.25              1              1                   1
32    1.122462048  3.88832259341   1.9441612967              1          -0.25              0              1                   1
33    2.244924096  3.88832259341   1.9441612967              1              0              4              1                   1
34    3.367386144  3.88832259341   1.9441612967              1          -0.25              0              1                   1
35    1.683693072  2.91624194506   1.9441612967              1          -0.25              1              1                   1
36     2.80615512  2.91624194506   1.9441612967              1          -0.25              2              1                   1
37    2.244924096   1.9441612967   1.9441612967              1          -0.25              3              1                   1
38    2.244924096  3.88832259341   -2.244924096              1             -4              5    4.489848192                   7
39    2.244924096  5.83248389011              0              1              0              4              1                   1
40    2.244924096   1.9441612967              0              1              0              4              1                   1
41    2.244924096  7.77664518682  28.0801438625              2          -0.25              3              1                   1
42    1.683693072  6.80456453846  28.0801438625              2          -0.25              1              1                   1
43     2.80615512  6.80456453846  28.0801438625              2          -0.25              2              1                   1
44    1.122462048  5.83248389011  28.0801438625              2          -0.25              1              1                   1
45    3.367386144  5.83248389011  28.0801438625              2          -0.25              2              1                   1
46    0.561231024  4.86040324176  28.0801438625              2          -0.25              1              1                   1
47    3.928617168  4.86040324176  28.0801438625              2          -0.25              2              1                   1
48              0  3.88832259341  28.0801438625              2          -0.25              0              1                   1
49    2.244924096  3.88832259341  28.0801438625              2              0              6       3.244924                   7
50    4.489848192  3.88832259341  28.0801438625              2          -0.25              0              1                   1
51    0.561231024  2.91624194506  28.0801438625              2          -0.25              2              1                   1
52    3.928617168  2.91624194506  28.0801438625              2          -0.25              1              1                   1
53    1.122462048   1.9441612967  28.0801438625              2          -0.25              2              1                   1
54    3.367386144   1.9441612967  28.0801438625              2          -0.25              1              1                   1
55    1.683693072 0.972080648352  28.0801438625              2          -0.25              2              1                   1
56     2.80615512 0.972080648352  28.0801438625              2          -0.25              1              1                   1
57    2.244924096              0  28.0801438625              2          -0.25              3              1                   1
58    2.244924096  6.80456453846  29.0522245109              2          -0.25              3              1                   1
59    1.683693072  5.83248389011  29.0522245109              2              0              4              1                   1
60     2.80615512  5.83248389011  29.0522245109              2              0              4              1                   1
61    1.122462048  4.86040324176  29.0522245109              2              0              4              1                   1
62    3.367386144  4.86040324176  29.0522245109              2              0              4              1                   1
63    0.561231024  3.88832259341  29.0522245109              2          -0.25              0              1                   1
64    3.928617168  3.88832259341  29.0522245109              2          -0.25              0              1                   1
65    1.122462048  2.91624194506  29.0522245109              2              0              4              1                   1
66    3.367386144  2.91624194506  29.0522245109              2              0              4              1                   1
67    1.683693072   1.9441612967  29.0522245109              2              0              4              1                   1
68     2.80615512   1.9441612967  29.0522245109              2              0              4              1                   1
69    2.244924096 0.972080648352  29.0522245109              2          -0.25              3              1                   1
70    2.244924096  5.83248389011  30.0243051592              2          -0.25              3              1                   1
71    1.683693072  4.86040324176  30.0243051592              2          -0.25              2              1                   1
72     2.80615512  4.86040324176  30.0243051592              2          -0.25              1              1                   1
73    1.122462048  3.88832259341  30.0243051592              2          -0.25              0              1                   1
74    2.244924096  3.88832259341  30.0243051592              2              0              4              1                   1
75    3.367386144  3.88832259341  30.0243051592              2          -0.25              0              1                   1
76    1.683693072  2.91624194506  30.0243051592              2          -0.25              1              1                   1
77     2.80615512  2.91624194506  30.0243051592              2          -0.25              2              1                   1
78    2.244924096   1.9441612967  30.0243051592              2          -0.25              3              1                   1
79    2.244924096  3.88832259341  25.8352197665              2             -4              5    4.489848192                   7
80    2.244924096  5.83248389011  28.0801438625              2              0              4              1                   1
81    2.244924096   1.9441612967  28.0801438625              2              0              4              1                   1
82    2.244924096  7.77664518682  56.1602877251              3          -0.25              3              1                   1
83    1.683693072  6.80456453846  56.1602877251              3          -0.25              1              1                   1
84     2.80615512  6.80456453846  56.1602877251              3          -0.25              2              1                   1
85    1.122462048  5.83248389011  56.1602877251              3          -0.25              1              1                   1
86    3.367386144  5.83248389011  56.1602877251              3          -0.25              2              1                   1
87    0.561231024  4.86040324176  56.1602877251              3          -0.25              1              1                   1
88    3.928617168  4.86040324176  56.1602877251              3          -0.25              2              1                   1
89              0  3.88832259341  56.1602877251              3          -0.25              0              1                   1
90    2.244924096  3.88832259341  56.1602877251              3              0              6       3.244924                   7
91    4.489848192  3.88832259341  56.1602877251              3          -0.25              0              1                   1
92    0.561231024  2.91624194506  56.1602877251              3          -0.25              2              1                   1
93    3.928617168  2.91624194506  56.1602877251              3          -0.25              1              1                   1
94    1.122462048   1.9441612967  56.1602877251              3          -0.25              2              1                   1
95    3.367386144   1.9441612967  56.1602877251              3          -0.25              1              1                   1
96    1.683693072 0.972080648352  56.1602877251              3          -0.25              2              1                   1
97     2.80615512 0.972080648352  56.1602877251              3          -0.25              1              1                   1
